Unnamed: 0,English,Korean
174,years,연령
175,leave,떠나다
176,does,하다
177,money,돈
178,around,약
179,doesn,하지 않는다
180,name,이름
181,place,장소
182,ever,항상
183,feel,느끼다
184,guys,얘들아
185,father,아버지
186,guy,남자
187,made,만들어진
188,old,오래된
189,isn,아니다
190,which,어느
191,big,큰
192,lot,많은
193,done,완료
194,hello,안녕하세요
195,nice,멋진
196,believe,믿다
197,girl,소녀
198,someone,누구
199,fine,괜찮은
200,thanks,감사해요
201,wanted,원했다
202,kind,친절한
203,coming,오는
204,house,집
205,every,모든
206,ok,좋아요
207,through,~을 통해
208,being,존재
209,course,강의
210,stay,머무르다
211,left,왼쪽
212,dad,아빠
213,enough,충분한
214,happened,일어났다
215,came,왔다
216,may,5월
217,mother,어머니
218,wrong,잘못된
219,world,세계
220,bad,나쁜
221,might,~할 것 같다
222,three,삼
223,today,오늘
224,listen,듣다
225,another,또 다른
226,understand,이해하다
227,hear,듣다
228,remember,기억하다
229,ask,묻다
230,own,소유하다
231,same,같은
232,show,보여주다
233,else,또 다른
234,kill,죽이다
235,talking,말하는
236,found,설립하다
237,next,다음
238,getting,구하는
239,care,케어
240,car,자동차
241,looking,찾고
242,son,아들
243,try,노력하다
244,woman,여성
245,went,갔다
246,hi,안녕
247,dead,죽은
248,many,많은
249,mind,정신
250,wasn,아니었다
251,friend,친구
252,best,최상의
253,mom,엄마
254,hell,지옥
255,morning,아침
256,trying,견딜 수 없는
257,boy,소년
258,together,함께
259,yourself,당신 자신
260,job,직업
261,saw,봤다
262,family,가족
263,real,진짜
264,without,없이
265,baby,아기
266,room,방
267,wouldn,않을 것이다
268,already,이미
269,move,이동하다
270,most,최대
271,seen,보았다
272,live,살다
273,miss,놓치다
274,actually,실제로
275,huh,뭐
276,shit,똥
277,both,둘 다
278,heard,들었다
279,once,한 번
280,ready,준비가 된
281,head,머리
282,called,~라고 불리는
284,idea,아이디어
285,knew,알고 있었다
286,hold,잡고 있다
287,happy,행복하다
288,door,문
289,such,그런
290,fuck,못쓰게 만들다
291,brother,형제
292,also,또한
293,pretty,예쁜
294,bit,조금
295,took,가지고 갔다
296,haven,항구
297,yet,아직
298,men,남자들
299,whole,전체
300,start,시작
301,use,사용
302,while,~하는 동안
303,since,~부터
304,wife,부인
305,days,날
306,guess,추측하다
307,tomorrow,내일
308,matter,문제
310,bring,가져오다
311,tonight,오늘 밤
312,everyone,모든 사람
313,run,달리다
314,wanna,원한다
315,hard,딱딱한
316,ah,아
317,alone,홀로
318,myself,내 자신
319,school,학교
320,gone,다 쓴
321,um,음
322,end,끝
323,saying,속담
324,phone,핸드폰
325,play,놀다
326,looks,외모
327,couldn,할 수 없었다
328,fucking,엿먹다
329,problem,문제
330,few,약간의
331,friends,친구
332,gotta,가다
333,ago,~ 전에
334,open,열려 있는
335,anyone,누구나
336,killed,죽였다
337,hope,희망
338,face,얼굴
339,until,~까지
340,lost,잃어버린
341,police,경찰
342,turn,회전하다
343,business,사업
344,case,사례
345,wants,원한다
346,says,말한다
347,TRUE,진실
348,die,주사위
349,heart,마음
350,soon,곧
351,each,각
352,worry,걱정하다
353,later,나중에
354,year,년도
355,watch,보다
356,music,음악
357,hand,손
358,having,가지고있다
359,probably,아마
360,beautiful,아름다운
361,doctor,의사
362,sit,앉다
363,eat,먹다
364,thinking,생각
365,young,어린
366,second,두번째
367,working,일하고 있는
368,water,물
369,person,사람
370,part,부분
371,kids,어린이
372,late,늦은
373,stuff,물건
374,exactly,정확히
375,under,아래에
376,death,죽음
377,minute,분
378,pay,지불하다
379,crazy,미친
380,forget,잊다
381,everybody,여러분
382,kid,어린이
383,change,변화
384,gave,주었다
385,happen,일어나다
386,damn,젠장
387,five,다섯
388,drink,마시다
389,far,멀리
390,knows,알고있다
391,its,그것은
392,whatever,무엇이든
393,eyes,눈
394,shut,닫다
395,aren,아렌
396,hit,때리다
397,taking,취득
398,easy,쉬운
399,times,타임스
400,check,확인하다
401,hands,소유
402,minutes,분
403,deal,거래
404,different,다른
405,means,수단
406,point,가리키다
407,inside,내부에
408,makes,만든다
409,asked,물었다
410,somebody,어떤 사람
411,mine,내 거
412,making,만들기
413,body,몸
414,afraid,두려워하는
415,sleep,잠
416,chance,가능성
417,dear,~에게
418,quite,상당히
419,four,네 개
420,anyway,그래도
421,close,닫다
422,ain,아인
423,party,파티
424,fun,재미있는
425,against,~에 맞서
426,word,단어
427,comes,온다
428,important,중요한
429,set,세트
430,shall,~일 것이다
431,story,이야기
432,number,숫자
433,daughter,딸
434,least,최소
435,waiting,대기 중
436,hurt,아프다
437,wish,소망
438,moment,순간
439,fight,싸움
440,week,주
441,husband,남편
442,girls,소녀들
443,rest,나머지
444,married,기혼
445,fire,불
446,game,게임
447,nobody,아무도
448,mr,~ 씨
449,children,어린이들
450,side,옆
451,stand,서다
452,read,읽다
453,though,그렇지만
454,cut,자르다
455,started,시작했다
456,sister,자매
457,supposed,추정된
458,between,~ 사이
459,child,어린이
460,goes,간다
461,hours,시간
462,speak,말하다
463,women,여성
464,behind,뒤에
465,almost,거의
466,truth,진실
467,blood,피
468,able,할 수 있는
469,lady,숙녀
470,anymore,더 이상
471,playing,연주하다
472,gets,얻는다
473,shot,발사
474,reason,이유
475,trouble,문제
476,break,부서지다
477,war,전쟁
478,city,도시
479,walk,걷다
480,town,도시
481,trust,신뢰하다
482,dr.,박사
483,met,만났다
484,office,사무실
485,question,질문
486,brought,가져왔다
487,yours,당신 것
488,welcome,환영
489,high,높은
490,wow,우와
491,couple,커플
492,half,반
493,died,죽었다
494,cool,시원한
495,free,무료
496,either,어느 하나
497,seems,보인다
498,power,힘
499,whoa,와우
500,bye,안녕
501,buy,구입하다
502,telling,말함
504,tried,시험을 마친
505,front,앞쪽
506,team,팀
507,answer,답변
508,gun,총
509,boys,소년들
510,line,선
511,send,보내다
512,news,소식
513,stupid,멍청한
514,bed,침대
515,hurry,서두르다
516,full,가득한
517,months,개월
518,save,구하다
519,sometimes,때때로
520,become,~이 되다
521,along,~을 따라
522,hate,싫어하다
523,food,음식
524,outside,밖의
525,light,빛
526,l,엘
527,needs,필요
528,dog,개
529,country,국가
530,clear,분명한
531,order,주문하다
532,em,여자 이름
533,fact,사실
534,lord,주님
535,captain,선장
536,six,육
537,hot,더운
538,funny,재미있는
539,black,검은색
540,mrs.,부인
541,alive,살아 있는
542,pick,선택하다
543,feeling,감정
544,living,생활
545,cause,원인
546,ahead,앞으로
547,lose,잃다
548,king,왕
549,plan,계획
550,dinner,저녁
551,sighs,한숨
552,sort,종류
553,leaving,퇴거
554,shouldn,~하지 않아야 한다
555,running,달리기
556,boss,사장
557,alright,괜찮은
558,promise,약속하다
559,taken,촬영됨
560,safe,안전한
561,ma,엄마
562,book,책
563,sent,전송된
564,white,하얀색
565,hour,시간
566,anybody,아무도
567,small,작은
568,perfect,완벽한
569,cause,원인
570,lives,삶
571,special,특별한
572,parents,부모
573,s,에스
574,john,남자
575,himself,그 자신
577,sounds,소리
578,serious,심각한
579,sick,아픈
580,company,회사
581,ha,하아
582,scared,무서운
583,uncle,삼촌
584,poor,가난한
585,red,빨간색
586,past,과거
587,earth,지구
588,possible,가능한
589,shoot,사격
590,touch,만지다
591,sound,소리
592,top,맨 위
593,ass,나귀
594,laughs,웃음
595,cannot,할 수 없다
596,asking,질문
597,win,이기다
598,glad,기쁜
599,control,제어
600,hmm,흠
601,human,인간
602,drive,운전하다
604,jack,잭
605,bitch,암캐
606,luck,운
607,murder,살인
608,happens,일어난다
609,air,공기
610,ten,열
611,daddy,아빠
612,finally,마지막으로
613,chuckles,낄낄 웃음
614,fast,빠른
615,cold,추운
616,seem,~인 것 같다
617,laughing,웃음
618,words,단어
619,hospital,병원
620,street,거리
621,hang,걸다
622,dance,춤
623,meeting,회의
624,till,...까지
625,others,다른 사람들
626,catch,잡다
627,follow,따르다
628,sense,감각
629,sex,섹스
630,lie,거짓말하다
631,evening,저녁
632,master,주인
633,known,알려진
634,dream,꿈
635,write,쓰다
636,million,백만
637,voice,목소리
638,sweet,달콤한
639,rather,꽤
640,felt,펠트
641,sign,징후
642,lucky,운이 좋은
643,somewhere,어딘가에
644,bet,내기
646,jesus,예수
647,longer,더 길게
648,calling,부름
649,worked,일했다
650,quiet,조용한
651,looked,보았다
652,less,더 적은
653,pull,당기다
654,beat,이기다
655,careful,주의 깊은
656,coffee,커피
657,return,반품
658,secret,비밀
659,weeks,주
660,weren,없었다
661,date,날짜
662,seeing,봄
663,fall,떨어지다
664,given,주어진
665,ooh,우와
666,fault,잘못
667,straight,똑바로
668,takes,걸립니다
669,song,노래
670,future,미래
671,gentlemen,신사
672,loved,사랑했다
673,changed,변경됨
674,road,도로
675,calm,침착한
676,wonderful,아주 멋진
677,mad,미친
678,turned,돌린
679,drop,떨어지다
680,ladies,숙녀
681,learn,배우다
682,step,단계
683,absolutely,전적으로
684,early,일찍
685,explain,설명하다
686,clean,깨끗한
687,piece,조각
688,yesterday,어제
689,throw,던지다
690,picture,그림
691,land,땅
692,feet,피트
693,wonder,궁금하다
694,questions,질문
695,speaking,말하기
696,worth,가치
697,darling,여보
698,dude,녀석
699,giving,주는 것
700,president,대통령
701,eye,눈
702,quick,빠른
703,moving,움직이는
704,figure,수치
705,state,상태
706,strong,강한
707,sam,샘
708,none,없음
709,amazing,놀라운
710,ones,1들
711,works,공장
712,act,행동
713,needed,필요했다
714,weird,기이한
715,law,법
716,worried,걱정하는
717,report,보고서
718,goodbye,안녕히 가세요
719,missing,없어진
720,choice,선택
721,happening,사고
722,chief,셰프
723,wedding,혼례
724,strange,이상한
725,general,일반적인
726,pain,통증
727,am,~이다
728,kidding,농담이야
729,decided,결정했다
730,ya,당신
731,pass,통과하다
732,tired,피곤한
733,class,수업
734,officer,장교
735,kept,유지된
736,wake,깨어 있다
737,worse,더 나쁜
738,busy,바쁘다
739,eh,뭐라고
740,mistake,실수
741,kiss,키스
742,court,법원
743,building,건물
744,finish,마치다
745,during,~ 동안
746,age,나이
747,ship,배
748,caught,잡았다
749,marry,결혼하다
750,meant,의미했다 
751,sell,팔다
752,dark,어두운
753,watching,보고 있다
754,system,체계
755,suppose,가정하다
756,evidence,증거
757,movie,영화
758,ride,타다
759,t,티
760,completely,완전히
761,mouth,입
762,totally,완전히
763,birthday,생일
764,tv,TV
765,forgive,용서하다
766,born,태어나다
767,imagine,상상하다
768,information,정보
769,instead,대신에
770,definitely,분명히
771,security,보안
772,certainly,틀림없이
773,film,영화
774,month,월
775,lying,거짓말하는
776,unless,~하지 않는 한
777,train,기차
778,seven,일곱
779,wear,입다
780,clothes,옷
781,michael,남자 이름
782,hotel,호텔
783,attack,공격
784,hasn,않았다
785,round,둥근
786,expect,예상하다
787,sing,노래하다
788,terrible,끔찍한
789,george,성 조지
790,bag,가방
791,history,역사
792,blue,파란색
793,near,가까운
794,broke,파산했다
795,station,역
796,seriously,진지하게
797,forever,영원히
798,david,데이비드
799,frank,솔직한
800,except,제외하고
801,thinks,생각한다
802,message,메시지
803,entire,전체
804,joe,조
805,table,테이블
806,talked,이야기했다
807,across,가로질러
808,rock,바위
809,lovely,사랑스러운
810,handle,핸들
811,middle,가운데
812,buddy,친구
813,paid,유급의
814,protect,보호하다
815,using,사용 중
816,floor,바닥
817,ran,달렸다
818,swear,욕을 하다
819,spend,경비
820,situation,상황
821,ring,반지
822,anywhere,어딘가에
823,dangerous,위험한
824,bill,청구서
825,york,요크
826,army,군대
827,lead,선두
828,bought,구입했다
829,finished,완성된
830,fair,공정한
831,sun,해
832,letter,편지
833,fool,바보
834,attention,주목
835,club,클럽
836,simple,단순한
837,interesting,흥미로운
838,space,공간
839,test,시험
840,box,상자
841,group,그룹
842,single,하나의
843,sitting,좌석
844,marriage,결혼
845,join,가입하다
846,fear,두려움
847,d,디
848,peace,평화
849,forgot,잊어버렸다
850,force,힘
851,short,짧은
852,normal,정상
853,charlie,백인
854,present,현재의
855,enjoy,즐기다
856,mike,마이크
857,crime,범죄
858,horse,말
859,ground,지면
860,american,미국 사람
861,count,세다
862,area,영역
863,charge,요금
864,honor,명예
865,lunch,점심
866,miles,마일
867,radio,라디오
868,idiot,바보
869,ball,공
870,surprise,놀라다
871,paper,종이
872,key,열쇠
873,boat,보트
874,quickly,빠르게
875,gold,금
876,bar,술집
877,fish,물고기
878,mark,표시
879,tom,남자 이름
880,wearing,착용
881,crying,울음소리
882,accident,사고
883,government,정부
884,eight,여덟
885,fell,쓰러뜨리다
886,cover,씌우다
887,certain,확실한
888,interested,관심 있는
889,deep,깊은
890,star,별
891,sea,바다
892,agree,동의하다
893,problems,문제들
894,detective,형사
895,prison,감옥
896,major,주요한
897,stick,막대
898,offer,권하다
899,difficult,어려운
900,smart,똑똑한
901,personal,개인의
902,record,기록
903,stopped,멈췄다
904,hide,숨다
905,whether,~이든
906,bank,은행
907,trip,여행
908,relax,안심하다
909,america,미국
910,public,공공의
911,list,목록
912,afternoon,오후
913,brain,뇌
914,fix,고치다
915,bastard,새끼
916,proud,자랑스러운
917,tea,차
918,service,서비스
919,screaming,외침
920,forward,앞으로
921,angry,화난
922,park,공원
923,soul,영혼
924,fighting,화이팅
925,peter,베드로
926,rich,부자
927,agent,대리인
928,blow,불다
929,paul,폴
930,dress,드레스
931,mary,메리
932,missed,놓쳤다
933,scene,장면
934,killing,죽이는
935,standing,서 있는
936,saved,저장됨
937,mm,mm
938,respect,존경
939,killer,살인자
940,ice,얼음
941,mess,엉망
942,tough,힘든
943,feels,느낀다
944,church,교회
945,sad,슬픈
946,cell,셀
947,drunk,술 취한
948,share,공유하다
949,camera,카메라
950,mm-hmm,음-음
951,within,이내에
952,card,카드
953,fly,파리
954,ben,벤
955,girlfriend,여자 친구
956,laugh,웃다
957,smell,냄새가 나다
958,broken,고장난
959,mum,침묵
961,often,자주
962,starting,시작하다
963,calls,전화
964,y,와이
965,spent,보냈다
966,third,제삼
967,english,영어
968,visit,방문하다
969,mama,엄마
970,judge,판사
971,window,창문
972,hungry,배고픈
973,dare,도전
974,relationship,관계
975,moved,움직이는
976,prove,입증하다
977,private,사적인
978,wall,벽
979,seat,좌석
980,i-i,나-나
981,position,위치
982,lieutenant,대장 보좌
983,realize,깨닫다
984,lt,이트
985,especially,특히
986,machine,기계
987,walking,걷는
988,art,미술
989,pleasure,기쁨
990,bloody,피의
991,college,대학
992,french,프랑스 국민
993,involved,관련된
994,cry,울다
995,became,~가 되었다
996,lived,살았다
997,impossible,불가능한
998,obviously,확실히
999,neither,어느 것도 아니다
1000,accept,수용하다
1001,boyfriend,남자 친구
1002,besides,게다가
1003,queen,여왕
1004,teacher,선생님
1005,cops,경찰
1006,sake,동기
1007,loves,사랑하다
1008,carry,나르다
1009,teach,가르치다
1010,apartment,아파트
1011,upset,속상한
1012,green,녹색
1013,la,라
1014,liked,좋아했다
1015,cute,귀여운
1016,evil,사악한
1017,professor,교수
1018,contact,연락하다
1019,joke,농담
1020,cop,순경
1021,huge,거대한
1022,holy,거룩한
1023,store,가게
1024,jail,교도소
1025,likes,좋아요
1026,lawyer,변호사
1027,doubt,의심
1028,continue,계속하다
1030,cat,고양이
1031,shop,가게
1032,driving,운전
1033,congratulations,축하해요
1034,wrote,썼다
1035,village,마을
1036,quit,그만두다
1037,field,필드
1038,james,제임스
1039,wine,와인
1040,decision,결정
1041,south,남쪽
1042,sleeping,자고 있는
1043,slow,느린
1044,laughter,웃음
1045,island,섬
1046,glass,유리
1047,beginning,시작
1048,cash,현금
1049,dying,사망
1050,hundred,백
1051,whose,누구의
1052,difference,차이점
1053,plane,비행기
1054,push,푸시
1055,continues,계속하다
1056,mmm,음
1057,singing,명음
1058,eating,식사
1060,mrs,부인
1061,tree,나무
1062,madam,부인
1063,gift,선물
1064,truck,트럭
1065,putting,퍼팅
1066,bear,곰
1067,board,판자
1068,grab,붙잡다
1069,beer,맥주
1070,stuck,갇힌
1071,magic,마법
1072,support,지원하다
1073,rules,규칙
1074,grunts,으르렁거림
1075,partner,파트너
1076,reach,도달하다
1077,wind,바람
1078,colonel,대령
1079,max,최대
1080,immediately,즉시
1081,seconds,초
1082,thousand,천
1083,gives,준다
1084,experience,경험
1085,cheers,건배
1086,victim,피해자
1087,upon,...에
1088,computer,컴퓨터
1089,christ,그리스도
1090,planet,행성
1091,promised,약속했다
1092,bus,버스
1093,henry,헨리
1094,dirty,더러운
1095,search,찾다
1096,staying,체재
1097,dreams,꿈
1098,arrest,체포
1099,holding,보유
1100,suddenly,갑자기
1101,usually,대개
1102,lots,많은
1103,shoes,신발
1104,er,어
1105,jump,도약
1106,rid,제거하다
1107,yo,에야디야
1109,owe,빚지다
1110,harry,괴롭히다
1111,grow,자라다
1112,worst,최악의
1113,river,강
1114,aunt,이모
1115,patient,인내심 있는
1116,kitchen,주방
1117,aah,아아
1118,fat,지방
1119,passed,통과했다
1120,m,중
1121,final,결정적인
1122,summer,여름
1123,bob,단발
1124,listening,청취
1125,escape,탈출하다
1126,everywhere,어디에나
1127,moon,달
1128,arms,무기
1129,turns,회전하다
1130,address,주소
1131,ow,아야
1132,match,성냥
1133,gasps,헐떡임
1134,grand,멋진
1135,yep,네
1136,shh,쉿
1137,nervous,불안한
1138,de,드
1139,choose,선택하다
1140,themselves,그들 자신
1141,decide,결정하다
1142,mate,친구
1143,drinking,음주
1144,press,누르다
1145,bother,신경 쓰다
1146,foot,발
1147,hadn,하지 않았다
1148,blame,탓하다
1149,crap,쓰레기
1150,drugs,약제
1151,type,유형
1152,rings,반지
1153,mission,사명
1154,named,명명된
1155,heaven,천국
1156,ii,2세
1157,picked,골랐다
1158,paris,파리
1159,race,경주
1160,risk,위험
1161,books,서적
1162,further,더 나아가
1163,danny,대니
1164,action,행동
1165,allowed,허용된
1166,orders,명령
1167,learned,배웠다
1168,price,가격
1169,arrived,도착했다
1170,nick,건강 상태
1171,otherwise,그렇지 않으면
1172,pictures,영화
1173,fit,맞다
1174,smoke,연기
1175,favor,호의
1176,played,연주했다
1177,notice,알아채다
1178,awesome,엄청난
1179,smile,웃다
1180,director,감독
1181,guard,경비원
1182,begin,시작하다
1183,spot,점
1184,surprised,놀란
1185,innocent,순결한
1186,narrator,내레이터
1187,herself,그녀 자신
1188,london,런던
1190,enemy,적
1191,battle,전투
1192,ourselves,우리 스스로
1193,alex,알렉스
1194,dollars,불화
1195,allow,허용하다
1196,nine,아홉
1197,gay,게이
1198,department,부서
1199,guilty,죄책감이 드는
1200,apart,따로
1201,earlier,더 일찍
1202,duty,의무
1203,jim,짐
1204,suit,정장
1205,bell,벨
1206,west,서쪽
1207,legs,다리
1208,hero,영웅
1209,destroy,파괴하다
1210,stage,단계
1211,bunch,다발
1212,according,~에 따라
1213,chicken,닭
1214,bigger,더 큰
1215,grunting,으르렁거리는 소리
1216,low,낮은
1217,helping,거들기
1218,admit,인정하다
1219,closed,닫은
1220,names,이름
1221,witness,증인
1222,upstairs,높은 곳에 있는
1223,arm,팔
1224,steal,훔치다
1225,jimmy,조립식 쇠지레
1226,kick,차기
1227,twice,두 배
1228,cross,십자가
1229,ways,방법
1230,sergeant,중사
1231,indeed,물론
1232,gas,가스
1233,keeping,유지
1234,energy,에너지
1235,pregnant,임신한
1236,waste,쓰레기
1237,helped,도움이 되었다
1238,fired,해고되다
1239,favorite,가장 좋아하는
1240,tony,토니
1241,taste,맛
1242,locked,잠김
1243,places,장소
1244,writing,글쓰기
1245,adam,아담
1246,brothers,형제
1247,starts,시작하다
1248,prince,왕자
1249,form,형태
1250,sold,판매된
1251,silly,바보 같은
1252,mention,언급하다
1253,build,짓다
1254,throat,목
1255,hole,구멍
1256,figured,문채 있는
1257,track,길
1258,ringing,울리는
1259,lock,잠그다
1260,leg,다리
1261,above,~ 위에
1262,hiding,숨김
1263,steve,스티브
1264,seemed,보였다
1265,breakfast,아침
1266,engine,엔진
1267,written,쓴
1268,complete,완벽한
1269,video,동영상
1270,applause,박수 갈채
1271,however,하지만
1272,pressure,압력
1273,fresh,신선한
1274,weapon,무기
1275,sky,하늘
1276,ms.,여사
1277,stole,스톨
1278,study,공부하다
1279,burn,불타다
1280,reading,독서
1281,crowd,군중
1282,treat,대하다
1283,roll,연타
1286,danger,위험
1287,cost,비용
1288,empty,비어 있는
1289,level,수준
1290,memory,메모리
1291,itself,그 자체
1292,acting,연기
1293,interest,관심
1294,nose,코
1295,plans,계획
1296,following,수행원
1297,bathroom,화장실
1298,built,세워짐
1299,closer,더 가까이
1300,ray,레이
1301,sarah,사라
1302,band,밴드
1303,groans,신음소리
1305,excited,흥분한
1306,richard,리처드
1307,losing,지는
1308,animals,동물들
1309,flight,비행
1310,nature,자연
1311,raise,들어올리다
1312,pop,팝
1313,client,고객
1314,bomb,폭탄
1315,neck,목
1316,suspect,의심하다
1317,warm,따뜻한
1318,extra,추가의
1319,bottle,병
1320,van,봉고차
1321,heavy,무거운
1322,mommy,엄마
1323,dogs,개들
1324,wild,야생의
1325,ridiculous,말도 안 되는
1326,simply,간단히
1327,lee,이씨
1328,animal,동물
1329,showed,보여주었다
1330,billy,곤봉
1331,shooting,촬영
1332,keeps,유지하다
1333,camp,캠프
1334,guns,총포
1335,medical,의료
1336,shame,창피
1337,hoping,희망하다
1338,whom,누구
1339,bird,새
1340,majesty,위엄
1341,flowers,월경
1342,famous,유명한
1343,asleep,죽어
1344,beauty,아름다움
1345,driver,운전사
1346,keys,열쇠
1347,rain,비
1348,awful,끔찍한
1349,large,크기가 큰
1350,local,현지의
1351,deserve,~ 받을 만하다
1352,goddamn,젠장
1353,stone,결석
1354,jane,계집애
1355,grace,우아함
1356,consider,고려하다
1357,weekend,주말
1358,wondering,궁금해하다
1359,lay,놓다
1360,plenty,풍부한
1361,willing,자발적인
1362,pants,바지
1363,sweetheart,여보
1364,skin,피부
1365,excellent,훌륭한
1366,asshole,항문
1367,beach,해변
1368,c,기음
1369,faith,믿음
1370,beg,빌다
1371,fuckin,씨발
1372,responsible,책임이 있는
1373,military,군대
1374,cheering,응원하다
1375,opportunity,기회
1376,common,흔한
1377,bottom,맨 아래
1378,german,독일 사람
1379,whoever,누구나
1380,cook,요리하다
1381,walked,걸었다
1382,papers,서류
1383,justice,정당성
1384,hall,홀
1385,commander,사령관
1386,drug,의약품
1387,main,기본
1388,knife,칼
1389,devil,악마
1390,necessary,필요한
1391,although,하지만
1392,princess,공주
1393,lights,허파
1394,flying,나는
1395,dick,형사
1396,rose,장미
1397,knowing,앎
1398,clearly,분명히
1399,hat,모자
1400,agreed,동의했다
1401,johnny,남자
1402,corner,모서리
1403,code,암호
1404,note,메모
1405,tommy,나사 돌리개
1406,due,~로 인한
1407,correct,옳은
1408,apologize,사과하다
1409,language,언어
1410,stars,별
1411,faster,더 빠르게
1412,cars,자동차
1413,folks,여러분
1414,bullshit,엉터리
1415,i.,나.
1416,fellow,사람
1417,several,여러 개의
1418,grandma,할머니
1419,shows,쇼
1420,leader,지도자
1421,leaves,나뭇잎
1422,restaurant,식당
1423,east,동쪽
1424,shouting,외침
1425,blind,눈이 먼
1426,ghost,귀신
1427,cup,컵
1428,gotten,얻었다
1429,tight,단단한
1430,conversation,대화
1431,tells,말한다
1432,lies,거짓말
1433,nor,...도 아니다
1434,pulled,당겼다
1435,hanging,교수형
1436,speed,속도
1437,stories,이야기
1438,health,건강
1439,advice,조언
1440,held,유지된
1441,uh-huh,응응
1442,murdered,살해당하다
1443,beyond,그 너머에
1444,rule,규칙
1445,hardly,거의 ~ 아니다
1446,possibly,혹시
1447,inspector,검사관
1448,cousin,사촌
1449,trial,재판
1450,emergency,비상
1451,ought,영
1452,eddie,에디
1453,somehow,어떻게든
1454,hearing,듣기
1455,states,주
1456,account,계정
1457,spoke,살
1458,file,파일
1459,understood,이해했다
1460,angel,천사
1461,tape,줄자
1462,milk,우유
1463,powerful,강한
1464,weapons,무기
1465,practice,관행
1466,manager,관리자
1467,pardon,뭐라고요
1468,vote,투표
1469,jake,제이크
1470,national,국가의
1471,career,직업
1472,minister,장관
1473,super,감독자
1474,taught,지도 받은
1475,robert,로버트
1476,biggest,가장 큰
1477,plays,연극
1478,natural,자연스러운
1479,dancing,댄스
1480,copy,복사
1481,plus,...을 더한
1482,martin,남자 이름
1483,cake,케이크
1484,freedom,자유
1485,among,~ 중에
1486,breath,호흡
1487,operation,작업
1488,chris,크리스
1489,crew,승무원
1490,challenge,도전
1491,market,시장
1492,meat,고기
1493,towards,...쪽으로
1494,bringing,가져오다
1495,dropped,떨어뜨렸다
1496,student,학생
1497,lied,거짓말했다
1498,strength,힘
1499,size,크기
1500,breathe,숨 쉬다
1501,color,색상
1502,monster,괴물
1503,loud,시끄러운
1504,photo,사진
1505,aw,아
1506,nearly,거의
1507,sight,시력
1508,greatest,가장 큰
1509,games,계략
1510,bridge,다리
1511,dressed,옷을 입은
1512,arrested,체포되다
1513,horrible,끔찍한
1514,coach,코치
1516,checked,확인했다
1517,breaking,파괴
